  Sequence Length    Learning Rate    Number of Epochs    Hidden Size    Training Error    Testing Error
-----------------  ---------------  ------------------  -------------  ----------------  ---------------
                3           0.0001                  25              5            0.3131           0.0745
                3           0.0001                  25             10           24.5117           6.6249
                3           0.0001                  25             20            2.2912           0.5893
                3           0.0001                  50              5            0.0864           0.0330
                3           0.0001                  50             10           49.8356          12.4593
                3           0.0001                  50             20            7.3314           1.8679
                3           0.0001                 100              5           14.2223           3.4214
                3           0.0001                 100             10            3.4230           0.8442
                3           0.0001                 100             20          nan              nan
                3           1e-05                   25              5            0.7808           0.2360
                3           1e-05                   25             10            0.9218           0.2201
                3           1e-05                   25             20            0.6727           0.1621
                3           1e-05                   50              5            2.7920           0.7080
                3           1e-05                   50             10            2.1935           0.5764
                3           1e-05                   50             20            0.6715           0.1491
                3           1e-05                  100              5            4.6828           1.1620
                3           1e-05                  100             10            7.2808           1.8250
                3           1e-05                  100             20            3.3433           0.8769
                3           1e-06                   25              5            0.0519           0.0102
                3           1e-06                   25             10            1.1576           0.2514
                3           1e-06                   25             20            0.4065           0.0990
                3           1e-06                   50              5            0.0938           0.0197
                3           1e-06                   50             10            2.0432           0.4759
                3           1e-06                   50             20            8.5046           1.8218
                3           1e-06                  100              5            0.1871           0.0391
                3           1e-06                  100             10            0.7866           0.2117
                3           1e-06                  100             20            5.3735           1.2998
                4           0.0001                  25              5            9.7238           2.4424
                4           0.0001                  25             10           15.8817           3.9936
                4           0.0001                  25             20           16.3881           5.8939
                4           0.0001                  50              5            1.9323           0.5189
                4           0.0001                  50             10            0.3739           0.0877
                4           0.0001                  50             20            8.8211           2.3061
                4           0.0001                 100              5            1.2200           0.3314
                4           0.0001                 100             10          nan              nan
                4           0.0001                 100             20           18.2757           4.5902
                4           1e-05                   25              5            6.8107           1.7032
                4           1e-05                   25             10            0.4954           0.1216
                4           1e-05                   25             20            2.5243           0.6037
                4           1e-05                   50              5            7.7272           1.7423
                4           1e-05                   50             10            0.1923           0.0457
                4           1e-05                   50             20           18.5662           4.8937
                4           1e-05                  100              5            4.8555           1.1923
                4           1e-05                  100             10           15.6448           3.6302
                4           1e-05                  100             20            8.8683           2.3299
                4           1e-06                   25              5            2.0939           0.4717
                4           1e-06                   25             10            2.8464           0.6146
                4           1e-06                   25             20            1.0891           0.1906
                4           1e-06                   50              5            0.4431           0.0934
                4           1e-06                   50             10            0.5876           0.1381
                4           1e-06                   50             20            0.4382           0.1131
                4           1e-06                  100              5            0.3950           0.0989
                4           1e-06                  100             10            2.7463           0.6542
                4           1e-06                  100             20            9.4755           2.4197
                5           0.0001                  25              5            0.5204           0.1154
                5           0.0001                  25             10          nan              nan
                5           0.0001                  25             20          nan              nan
                5           0.0001                  50              5            0.0384           0.0074
                5           0.0001                  50             10            6.5479           1.6218
                5           0.0001                  50             20          nan              nan
                5           0.0001                 100              5            8.1065           2.1836
                5           0.0001                 100             10          nan              nan
                5           0.0001                 100             20           23.5105           6.0711
                5           1e-05                   25              5            0.0910           0.0193
                5           1e-05                   25             10            0.6140           0.2056
                5           1e-05                   25             20            0.5999           0.2425
                5           1e-05                   50              5            0.2291           0.0540
                5           1e-05                   50             10           26.5807           6.9443
                5           1e-05                   50             20           12.4623           3.1507
                5           1e-05                  100              5            0.2929           0.0631
                5           1e-05                  100             10            3.1485           0.7389
                5           1e-05                  100             20            0.0440           0.0088
                5           1e-06                   25              5            1.2101           0.2555
                5           1e-06                   25             10            1.0776           0.2138
                5           1e-06                   25             20            3.1942           0.7921
                5           1e-06                   50              5            0.8196           0.1604
                5           1e-06                   50             10            1.2888           0.2959
                5           1e-06                   50             20            1.6165           0.4628
                5           1e-06                  100              5            1.0392           0.2722
                5           1e-06                  100             10            0.3632           0.1085
                5           1e-06                  100             20           13.9371           3.4175
